the_geom,physicalid,l_low_hn,l_high_hn,r_low_hn,r_high_hn,l_zip,r_zip,status,bike_lane,trafdir,rw_type,pre_type,post_type,objectid,fcc,left_side_block_face_id,right_side_block_face_id,average_travel_time,roadway_jurisdiction,nominaldir,accessible,nonped,borough_code,borough_indicator,segloc_status,san_district_inc,left_side_subset,right_side_subset,continuous_parity_flag,twisted_parity_flag,posted_speed,segment_length,street_width,street_width_irr,special_disaster,fire_lane,created_date,modified_date,within_bndy_dist,truck_route_type,collection_method,from_level_code,to_level_code,b5sc,snow_priority,joinid,bphys_id,cartography_display_level,number_travel_lanes,number_park_lanes,number_total_lane,pre_modifier,pre_directional,post_directional,post_modifier,full_street_name,bike_traffic_direction,shape__length,globalid,segment_type,segment_type_value,street_name,street_name_label,geometry
"MULTILINESTRING ((-74.008585020127 40.719960175464, -74.010183706585 40.720123280253))",729.0,50,72,49,73,10013.0,10013.0,2,,FT,1,,ST,590.0,,1.222.606.792,1.222.604.940,,,,,,1,,,,3B,3B,,N,25.0,"447,11823576",36.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:52:15 AM,,,,13,13,127290,C,,,,2.0,2.0,4.0,,N,,,N  MOORE ST,,"179,57015178227",0a1face7-1ea1-438f-9967-b98c47d63a44,,,MOORE,N MOORE ST,"MULTILINESTRING ((-74.008585 40.71996, -74.010184 40.720123))"
"MULTILINESTRING ((-74.016604225474 40.712074301304, -74.016607366646 40.712058199245, -74.016608597248 40.712041947698, -74.016607907359 40.712025677656, -74.016605302541 40.712009520263, -74.016600803789 40.711993605754, -74.016594447365 40.711978062409, -74.016586284506 40.711963015512, -74.016576381006 40.711948586348, -74.016564816692 40.711934891224, -74.016551684778 40.711922040528, -74.016537091113 40.711910137843), (-74.016537091113 40.711910137843, -74.015787078138 40.711577119529))",174.121,,,,,10280.0,10280.0,2,1.0,NV,6,,,111.869,,,,,,,,,1,,,,,,,N,,"305,99769523",,,,,2016 Jun 22 11:51:30 AM,2026 Feb 06 11:42:23 AM,,,,13,13,100724,,,,,,,,,,,,NORTH COVE BIKE PATH,TW,"123,04265089875",b5bb55a0-a226-48c1-b85b-b3ff30e1b5e5,,,NORTH COVE BIKE PATH,NORTH COVE BIKE PATH,"MULTILINESTRING ((-74.016604 40.712074, -74.016607 40.712058, -74.016609 40.712042, -74.016608 40.712026, -74.016605 40.71201, -74.016601 40.711994, -74.016594 40.711978, -74.016586 40.711963, -74.016576 40.711949, -74.016565 40.711935, -74.016552 40.711922, -74.016537 40.71191), (-74.016537 40.71191, -74.015787 40.711577))"
"MULTILINESTRING ((-74.008988853999 40.704093065669, -74.008790494083 40.704219140342))",119.0,,,,,10004.0,10005.0,2,3.0,TW,1,,ST,83.0,,212.261.509,212.261.285,,,,,,1,,,,1B,1B,,N,25.0,"72,5507656",60.0,,,,2007 Nov 29 12:00:00 AM,2022 May 02 04:20:19 PM,,2.0,,13,13,133490,C,,,,4.0,0.0,4.0,,,,,WATER ST,TF,"28,81529308494",de57d170-00f6-451a-a988-833d3bb8ff86,,,WATER,WATER ST,"MULTILINESTRING ((-74.008989 40.704093, -74.00879 40.704219))"
"MULTILINESTRING ((-74.005483549451 40.70739581032, -74.004329872709 40.707831734069))",96.0,239,265,240,266,10038.0,10038.0,2,,TF,1,,ST,66.0,,212.261.633,212.260.489,,,,,,1,,,,1B,1B,,N,25.0,"357,11579772",20.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:27:56 AM,,,,13,13,128490,C,,,,1.0,1.0,2.0,,,,,PEARL ST,,"143,49705555328",65e83c2b-e60b-42c8-9a8d-50ee00ffbeb4,,,PEARL,PEARL ST,"MULTILINESTRING ((-74.005484 40.707396, -74.00433 40.707832))"
"MULTILINESTRING ((-73.999932276721 40.716552154928, -73.999449681295 40.717338037926))",1.325,84,102,81,99,10013.0,10013.0,2,,TF,1,,ST,1.101,,1.222.601.735,1.222.606.425,,,,,,1,,,,3B,1A,,N,25.0,"316,0331624",30.0,,,,2007 Nov 29 12:00:00 AM,2024 Mar 15 02:38:46 PM,,,F,13,13,112710,H,,,,1.0,2.0,3.0,,,,,BAXTER ST,,"127,31307432776",e1ce9975-b19b-498e-9fe3-7c4012f9b0f0,,,BAXTER,BAXTER ST,"MULTILINESTRING ((-73.999932 40.716552, -73.99945 40.717338))"
"MULTILINESTRING ((-74.004662658281 40.70141045587, -74.004606897607 40.701330425339, -74.004557211528 40.70124810937, -74.004513761084 40.701163774754), (-74.004513761084 40.701163774754, -74.004476687845 40.701077695176, -74.004446111169 40.700990149317, -74.00442213016 40.700901420919), (-74.00442213016 40.700901420919, -74.004399845985 40.700802410534, -74.004381205137 40.700702964807, -74.004366222169 40.700603161376), (-74.004366222169 40.700603161376, -74.00435490948 40.700503078384, -74.004347275184 40.700402793761, -74.004343325241 40.700302385801))",178.893,,,,,,,2,,NV,14,,RTE,113.966,,,,,,,,,1,,,,,,,N,,"219,59452238",,,,,2017 Jan 04 02:25:15 PM,2017 Feb 23 03:08:57 PM,,,,13,13,100678,,,,,,,,,,,,BELFORD-WALL STREET FERRY RTE,,"168,26575560762",9240ec09-c0a6-44d1-989d-e39d8964fc78,,,BELFORD-WALL STREET FERRY,BELFORD-WALL STREET FERRY RTE,"MULTILINESTRING ((-74.004663 40.70141, -74.004607 40.70133, -74.004557 40.701248, -74.004514 40.701164), (-74.004514 40.701164, -74.004477 40.701078, -74.004446 40.70099, -74.004422 40.700901), (-74.004422 40.700901, -74.0044 40.700802, -74.004381 40.700703, -74.004366 40.700603), (-74.004366 40.700603, -74.004355 40.700503, -74.004347 40.700403, -74.004343 40.700302))"
"MULTILINESTRING ((-74.004101493272 40.700205995634, -74.004109743185 40.7001186631, -74.004122656558 40.700031658372, -74.004140211989 40.699945125635), (-74.004140211989 40.699945125635, -74.004162380977 40.699859208593, -74.004189126162 40.699774049349, -74.004220403223 40.699689789034))",178.117,,,,,,,2,,NV,14,,,113.629,,,,,,,,,1,,,,,,,N,,"195,92946155",,,,,2017 Jan 04 04:15:11 PM,2017 Jan 11 02:14:56 PM,,,,13,13,101040,,,,,,,,,,,,GOVERNORS ISLAND FERRY ROUTE,,"77,12847146136",c1c4a3b9-d438-4f37-b997-3df649acb289,,,GOVERNORS ISLAND FERRY ROUTE,GOVERNORS ISLAND FERRY ROUTE,"MULTILINESTRING ((-74.004101 40.700206, -74.00411 40.700119, -74.004123 40.700032, -74.00414 40.699945), (-74.00414 40.699945, -74.004162 40.699859, -74.004189 40.699774, -74.00422 40.69969))"
"MULTILINESTRING ((-74.000790851007 40.715299208783, -74.000579691255 40.715579142865))",1.32,,,,,10013.0,10013.0,2,,TF,1,,ST,1.096,,212.261.170,212.261.361,,,,,,1,,,,3B,1A,,N,25.0,"113,32098351",30.0,,,,2007 Nov 29 12:00:00 AM,2024 Mar 15 02:38:46 PM,,,,13,13,112710,H,,,,1.0,2.0,3.0,,,,,BAXTER ST,,"47,35861320223",dd4d10eb-4ab1-4563-ae29-9077a5823230,,,BAXTER,BAXTER ST,"MULTILINESTRING ((-74.000791 40.715299, -74.00058 40.715579))"
"MULTILINESTRING ((-74.012904089531 40.702157081187, -74.012797031616 40.701756991868), (-74.012797031616 40.701756991868, -74.012795455256 40.701754121391, -74.012793775383 40.701751285123, -74.012791993275 40.701748485227), (-74.012791993275 40.701748485227, -74.012786223712 40.701740545151, -74.012779633532 40.701732984051, -74.012772265456 40.701725850941, -74.012764167245 40.701719192062, -74.012755391397 40.701713050578), (-74.012755391397 40.701713050578, -74.012746514748 40.701706866094, -74.012738356841 40.701700132649, -74.012730976082 40.701692898452, -74.012724425312 40.701685215294, -74.012718751431 40.70167713818, -74.012713995059 40.701668724938), (-74.012713995059 40.701668724938, -74.012671573776 40.701545163534))",176.758,,,,,10004.0,10004.0,2,1.0,NV,6,,,112.979,,,,,,,,D,1,,,,,,,N,,,,,,,2011 May 18 11:32:59 AM,2018 Apr 19 03:17:43 PM,,,,13,13,100736,,,,,,,,,,,,PETER MINUIT PLAZA GREENWAY,TW,"94,77249269657",3804f0d0-7077-4272-9ed4-4655b157e052,,,PETER MINUIT PLAZA GREENWAY,PETER MINUIT PLAZA GREENWAY,"MULTILINESTRING ((-74.012904 40.702157, -74.012797 40.701757), (-74.012797 40.701757, -74.012795 40.701754, -74.012794 40.701751, -74.012792 40.701748), (-74.012792 40.701748, -74.012786 40.701741, -74.01278 40.701733, -74.012772 40.701726, -74.012764 40.701719, -74.012755 40.701713), (-74.012755 40.701713, -74.012747 40.701707, -74.012738 40.7017, -74.012731 40.701693, -74.012724 40.701685, -74.012719 40.701677, -74.012714 40.701669), (-74.012714 40.701669, -74.012672 40.701545))"
"MULTILINESTRING ((-73.996386894742 40.709758946488, -73.99637622391 40.709714996433, -73.99633743543 40.709555231847, -73.996321157676 40.709494236734, -73.996258548417 40.709279800066, -73.996062641273 40.709212808003))",166.349,0,0,14,28,10038.0,10038.0,2,2.0,FT,1,,SLIP,108.582,,212.260.578,212.260.328,,,,,,1,,,,1A,1A,,N,25.0,"58,11838813",30.0,,,,2007 Nov 29 12:00:00 AM,2020 Apr 14 12:43:40 PM,,,,13,13,114290,C,,,,2.0,2.0,4.0,,,,,CATHERINE SLIP,FT,"95,73533316769",fb26b0ed-3935-43b7-abd7-1363bb350335,,,CATHERINE,CATHERINE SLIP,"MULTILINESTRING ((-73.996387 40.709759, -73.996376 40.709715, -73.996337 40.709555, -73.996321 40.709494, -73.996259 40.70928, -73.996063 40.709213))"
"MULTILINESTRING ((-74.002428585646 40.714634951384, -74.001314984817 40.714795683649))",101.322,,,,,10007.0,10007.0,2,,NV,6,,PL,91.523,,0,0,,3.0,,,,1,,,,3B,3B,,N,,"314,21695316",0.0,,,,2007 Nov 29 12:00:00 AM,2015 Aug 10 12:00:00 AM,,,,13,13,122180,,,,,0.0,0.0,0.0,,,,,HAMILL PL,,"126,19305479601",2545ea0b-b8b5-4e1e-a131-d6ba54aad910,,,HAMILL,HAMILL PL,"MULTILINESTRING ((-74.002429 40.714635, -74.001315 40.714796))"
"MULTILINESTRING ((-74.006952935805 40.711695464385, -74.006768669427 40.71151030323))",722.0,2,6,1,1,10038.0,10038.0,2,,TF,1,,ST,585.0,,212.261.266,212.261.106,,,,,,1,,,,1B,1B,,N,25.0,"84,61949656",28.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 12:54:40 PM,,,,13,13,113015,H,,,,1.0,1.0,2.0,,,,,BEEKMAN ST,,"34,06166717247",bacc1ef0-6508-4986-8e14-bb952d37ed68,,,BEEKMAN,BEEKMAN ST,"MULTILINESTRING ((-74.006953 40.711695, -74.006769 40.71151))"
"MULTILINESTRING ((-74.00393815709 40.711806894424, -74.003732267739 40.711664969047))",182.187,,,,,10038.0,10038.0,2,1.0,TF,1,,BRG,115.1,,212.261.161,212.261.737,,,,,V,1,,,,,,,N,30.0,"74,00654043",20.0,,,,2007 Nov 29 12:00:00 AM,2024 Oct 04 03:39:31 PM,,,,17,17,197780,V,,,10.0,2.0,0.0,2.0,,,,,BROOKLYN BRG,TW,"30,97961968506",11f0be37-f395-4379-9be7-68e107d32bc0,,,BROOKLYN,BROOKLYN BRG,"MULTILINESTRING ((-74.003938 40.711807, -74.003732 40.711665))"
"MULTILINESTRING ((-73.996212327612 40.710242898573, -73.995875931133 40.710295242909, -73.995152483912 40.710407819213, -73.994674670919 40.710483209909, -73.994144239666 40.710566899939))",68.496,100,164,101,163,10002.0,10002.0,2,2.0,TF,1,,ST,62.206,,212.261.433,212.261.667,,,,,,1,,,,1A,1A,,N,25.0,"95,19171243",32.0,,,,2009 Jun 16 12:00:00 AM,2020 Apr 14 03:21:37 PM,,,,13,13,115010,S,,,,2.0,2.0,4.0,,,,,CHERRY ST,TF,"235,08440300771",3563967c-b8a7-4599-b1bd-fc73f8466600,,,CHERRY,CHERRY ST,"MULTILINESTRING ((-73.996212 40.710243, -73.995876 40.710295, -73.995152 40.710408, -73.994675 40.710483, -73.994144 40.710567))"
"MULTILINESTRING ((-74.000874062698 40.711705207482, -74.000892961916 40.713007497276))",182.257,417,463,422,462,10038.0,10038.0,2,,TW,1,,ST,115.123,,212.261.078,212.261.640,,,,,,1,,X,2.0,3B,1A,,N,25.0,"480,2620889",50.0,,,,2007 Nov 29 12:00:00 AM,2025 May 13 03:36:00 PM,,,,13,13,128490,H,,,,3.0,0.0,3.0,,,,,PEARL ST,,"191,26677427996",e6b39a31-7b4a-4b91-94c7-33d9e062746e,,,PEARL,PEARL ST,"MULTILINESTRING ((-74.000874 40.711705, -74.000893 40.713007))"
"MULTILINESTRING ((-74.003971736188 40.708733852087, -74.003933173374 40.708690290674, -74.003403412764 40.708091913356))",179.749,80,106,81,105,10038.0,10038.0,2,,NV,6,,ST,114.354,,212.260.960,212.261.772,,,,,,1,,,,1B,1B,,N,,"250,30183438",20.0,,,,2009 Jun 16 12:00:00 AM,2021 May 05 10:16:00 AM,,,,13,13,113015,,,,,1.0,0.0,1.0,,,,,BEEKMAN ST,,"113,53128237909",1695fd0e-5b92-42d2-895a-ccb900e182fc,,,BEEKMAN,BEEKMAN ST,"MULTILINESTRING ((-74.003972 40.708734, -74.003933 40.70869, -74.003403 40.708092))"
"MULTILINESTRING ((-74.017280610042 40.703527376079, -74.017269612347 40.703564466599, -74.017254557262 40.703600722398, -74.017235551328 40.703635886903, -74.017212729046 40.703669711266, -74.017186251923 40.703701956123, -74.017156307331 40.703732393287, -74.017123107181 40.703760807364, -74.017086886422 40.703786997278), (-74.017086886422 40.703786997278, -74.017047901339 40.703810777727, -74.017006427845 40.703831980374, -74.01696275944 40.703850455175, -74.016917205157 40.703866071389, -74.016870087377 40.703878718506, -74.016821739543 40.703888307026, -74.016772503805 40.703894769094, -74.016722728594 40.703898058979))",178.719,,,,,10004.0,10004.0,2,,NV,6,,PATH,113.879,,,,,,,,,1,,,,,,,N,,"233,88247368",,,,,2017 Feb 16 11:36:52 AM,2020 Sep 30 12:01:35 PM,,,,13,13,100786,,,,,,,,,,,,BATTERY PARK PATH,,"89,14457302688",ea804593-0cf3-48ca-8f0c-ae9c6e535c30,,,BATTERY PARK,BATTERY PARK PATH,"MULTILINESTRING ((-74.017281 40.703527, -74.01727 40.703564, -74.017255 40.703601, -74.017236 40.703636, -74.017213 40.70367, -74.017186 40.703702, -74.017156 40.703732, -74.017123 40.703761, -74.017087 40.703787), (-74.017087 40.703787, -74.017048 40.703811, -74.017006 40.703832, -74.016963 40.70385, -74.016917 40.703866, -74.01687 40.703879, -74.016822 40.703888, -74.016773 40.703895, -74.016723 40.703898))"
"MULTILINESTRING ((-74.003162403979 40.706240252866, -74.002330601103 40.706716445492))",79.701,95,103,94,102,10038.0,10038.0,2,,TW,1,,ST,72.139,,212.260.213,212.260.090,,,,,,1,,,,1B,1B,2.0,N,25.0,"288,59151331",32.0,,,,2007 Nov 29 12:00:00 AM,2022 Apr 12 10:41:59 AM,,2.0,,13,13,130640,C,,,,2.0,1.0,3.0,,,,,SOUTH ST,,"116,03402439106",a08579e5-3f74-4e1f-bf7c-329b2ca1915f,,,SOUTH,SOUTH ST,"MULTILINESTRING ((-74.003162 40.70624, -74.002331 40.706716))"
"MULTILINESTRING ((-73.999135647383 40.707990635437, -73.998011073122 40.707102243346, -73.998011057272 40.707102230781, -73.996483792062 40.705895664376))",78.613,,,,,10038.0,10038.0,2,1.0,TF,3,,BRG,71.24,,212.260.127,212.261.737,,,,,V,1,,,,,,,N,30.0,"449,41334897",30.0,,,,2009 Jun 16 12:00:00 AM,2024 Oct 04 02:26:42 PM,,,,17,17,197780,V,,,10.0,3.0,0.0,3.0,,,,,BROOKLYN BRG,TW,"426,36803992312",da3983af-0e64-4324-aa52-0885098da6af,,,BROOKLYN,BROOKLYN BRG,"MULTILINESTRING ((-73.999136 40.707991, -73.998011 40.707102, -73.998011 40.707102, -73.996484 40.705896))"
"MULTILINESTRING ((-74.003659434637 40.710921329626, -74.00364369808 40.710981826317))",72.733,,,,,10038.0,10038.0,2,2.0,TW,1,,ST,66.11,,212.262.199,212.261.224,,,,,,1,,,,1B,1B,,N,25.0,"22,4683818",34.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 10 01:15:28 PM,,,,13,13,121350,C,,,,2.0,0.0,2.0,,,,,GOLD ST,TF,"9,0554572375",1cee1564-eca9-44aa-b1d2-6a980183d211,,,GOLD,GOLD ST,"MULTILINESTRING ((-74.003659 40.710921, -74.003644 40.710982))"
"MULTILINESTRING ((-74.003083229952 40.710632525541, -74.003194257804 40.71064883998, -74.003413362119 40.710811817228))",78.328,,,,,10038.0,10038.0,2,2.0,TF,1,,ST,71.011,,212.260.956,212.260.059,,,,,,1,,,,1B,1B,,N,25.0,"31,34963293",22.0,,,,2007 Nov 29 12:00:00 AM,2020 Apr 14 12:43:40 PM,,,,13,13,120850,C,,,,1.0,1.0,2.0,,,,,FRANKFORT ST,TF,"46,76206544886",cbe061af-ce35-4137-b0af-bce892f17f8d,,,FRANKFORT,FRANKFORT ST,"MULTILINESTRING ((-74.003083 40.710633, -74.003194 40.710649, -74.003413 40.710812))"
"MULTILINESTRING ((-74.000008954403 40.708607858068, -74.000190389076 40.708647669546))",133.544,,,,,10038.0,10038.0,2,,FT,3,,,102.654,,212.260.085,212.260.136,,,,,V,1,,,,,,,N,30.0,"52,35116468",18.0,,,,2007 Nov 29 12:00:00 AM,2022 Jun 23 09:07:09 AM,,,,13,13,100959,V,,,,1.0,0.0,1.0,,,,,BROOKLYN BRIDGE EN RP FDR DR,,"21,02636617235",0fd93d9f-7a5f-4468-9929-25f27fecd02c,,,BROOKLYN BRIDGE EN RP FDR DR,BROOKLYN BRIDGE EN RP FDR DR,"MULTILINESTRING ((-74.000009 40.708608, -74.00019 40.708648))"
"MULTILINESTRING ((-74.009992859022 40.717385593073, -74.010694195963 40.717478202071))",1.091,178,198,177,201,10013.0,10013.0,2,,TF,1,,ST,893.0,,1.222.606.027,1.222.603.480,,,,,,1,,,,3A,3A,,N,25.0,"197,32239658",32.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 10:05:32 AM,,,,13,13,116850,S,,,,1.0,2.0,3.0,,,,,DUANE ST,,"79,24844420766",24f74876-9705-49b2-a9eb-6cfb6e5b1a99,,,DUANE,DUANE ST,"MULTILINESTRING ((-74.009993 40.717386, -74.010694 40.717478))"
"MULTILINESTRING ((-73.997304450672 40.719332088135, -73.996837610248 40.720512635877))",16.661,157,177,156,176,10013.0,10013.0,2,,FT,1,,ST,14.849,,1.222.604.036,1.222.604.461,,,,,,1,,,,1F,1F,,N,25.0,"449,15537365",24.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:45:37 AM,,,,13,13,126990,H,,,,1.0,2.0,3.0,,,,,MULBERRY ST,,"181,01606675709",4b592e43-cd9c-46ed-bfc6-3db5cecf02e9,,,MULBERRY,MULBERRY ST,"MULTILINESTRING ((-73.997304 40.719332, -73.996838 40.720513))"
"MULTILINESTRING ((-74.001832842182 40.718317050033, -74.000989479869 40.717940142673))",940.0,78,94,79,95,10013.0,10013.0,2,,FT,1,,ST,762.0,,1.222.602.137,1.222.601.761,,,,,,1,,,,3B,3B,,N,25.0,"271,13033815",30.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:24:55 PM,,3.0,,13,13,132900,S,,,,1.0,2.0,3.0,,,,,WALKER ST,,"108,98819822686",46edb6f7-515f-41fd-b743-788b3d961941,,,WALKER,WALKER ST,"MULTILINESTRING ((-74.001833 40.718317, -74.000989 40.71794))"
"MULTILINESTRING ((-74.009474880771 40.710420782258, -74.009063949461 40.710894942857))",496.0,193,207,198,210,10007.0,10038.0,2,1.0,TF,1,,,384.0,,212.262.101,212.260.770,,,,,,1,,X,,1A,1A,,N,25.0,"206,93451882",28.0,,,,2007 Nov 29 12:00:00 AM,2022 May 02 04:20:19 PM,,2.0,,13,13,113610,C,,,10.0,2.0,2.0,4.0,,,,,BROADWAY,TF,"83,31529523672",5b4c73e4-d006-4c03-ae23-6d3961012548,,,BROADWAY,BROADWAY,"MULTILINESTRING ((-74.009475 40.710421, -74.009064 40.710895))"
"MULTILINESTRING ((-74.007856131962 40.703116026932, -74.007855871354 40.703144023206, -74.007852380572 40.703171893843, -74.007845686601 40.703199423405, -74.007835841185 40.703226399093), (-74.007835841185 40.703226399093, -74.007822920432 40.703252612433, -74.007807024205 40.703277860754, -74.007788275378 40.70330194889, -74.007766818879 40.703324690643))",129.451,,,,,10004.0,10004.0,2,,FT,1,,ST,101.529,,212.260.017,212.260.110,,,,,,1,,,,1B,1B,,N,25.0,"10,61876558",20.0,,,,2011 May 04 10:51:40 AM,2017 Mar 17 09:55:46 AM,,,,13,13,130640,C,,,,1.0,0.0,1.0,,,,,SOUTH ST,,"32,87248346233",a8b96d8b-b92c-46db-988a-a9c3e3670996,,,SOUTH,SOUTH ST,"MULTILINESTRING ((-74.007856 40.703116, -74.007856 40.703144, -74.007852 40.703172, -74.007846 40.703199, -74.007836 40.703226), (-74.007836 40.703226, -74.007823 40.703253, -74.007807 40.703278, -74.007788 40.703302, -74.007767 40.703325))"
"MULTILINESTRING ((-74.009830213601 40.70812599775, -74.010847683648 40.708805783215))",91.591,70,88,71,91,10005.0,10005.0,2,,FT,1,,ST,82.796,,212.260.869,212.261.682,,,,,,1,,,,1B,1B,,N,25.0,"375,38356732",16.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 12:54:13 PM,,,,13,13,114410,H,,,,1.0,1.0,2.0,,,,,CEDAR ST,,"150,9781706321",5056fd4e-4e0e-4b21-a649-a374eded0cb6,,,CEDAR,CEDAR ST,"MULTILINESTRING ((-74.00983 40.708126, -74.010848 40.708806))"
"MULTILINESTRING ((-74.003109682907 40.707679649867, -74.002745428347 40.707224369698))",79.753,128,140,123,137,10038.0,10038.0,2,,TF,1,,ST,72.184,,212.260.378,212.260.214,,,,,,1,,,,1B,1B,,N,25.0,"194,19702092",30.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:22:23 AM,,,,13,13,113015,H,,,,1.0,2.0,3.0,,,,,BEEKMAN ST,,"78,19311299976",831e4f65-354b-4ea5-b3fc-f5bab7e7e507,,,BEEKMAN,BEEKMAN ST,"MULTILINESTRING ((-74.00311 40.70768, -74.002745 40.707224))"
"MULTILINESTRING ((-73.998753807037 40.718452602931, -73.998395440697 40.718995452719, -73.99817411276 40.719561131816, -73.998055163587 40.719589513944))",1.328,134,160,131,161,10013.0,10013.0,2,,TF,1,,ST,1.104,,1.222.604.803,1.222.603.585,,,,,,1,,,,1F,1F,,N,25.0,"215,03238783",25.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:56:00 AM,,,,13,13,112710,H,,,,1.0,2.0,3.0,,,,,BAXTER ST,,"189,69716325501",a62c483b-ddfd-4448-a465-3808e7729dea,,,BAXTER,BAXTER ST,"MULTILINESTRING ((-73.998754 40.718453, -73.998395 40.718995, -73.998174 40.719561, -73.998055 40.71959))"
"MULTILINESTRING ((-74.01767147758 40.703607751058, -74.017885932775 40.703590020691))",178.728,,,,,10004.0,10004.0,2,,NV,6,,,113.887,,,,,,,,,1,,,,,,,N,,"59,87518937",,,,,2017 Feb 16 02:18:45 PM,2017 May 16 12:00:00 AM,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,"24,01459288851",bce0e468-307b-4832-a454-e2e32e1a38d9,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,"MULTILINESTRING ((-74.017671 40.703608, -74.017886 40.70359))"
"MULTILINESTRING ((-74.007225804396 40.713063512303, -74.008833262921 40.71380418721))",83.695,2,32,1,31,10007.0,10007.0,2,2.0,FT,1,,ST,75.747,,212.261.537,212.261.727,,,,,,1,,,,1A,1A,,N,25.0,"520,96358916",34.0,,,,2007 Nov 29 12:00:00 AM,2022 May 02 04:20:19 PM,,,,13,13,127050,C,,,,1.0,2.0,3.0,,,,,MURRAY ST,FT,"209,41026261389",56c164e5-6f5c-4175-b1c8-d4563908871d,,,MURRAY,MURRAY ST,"MULTILINESTRING ((-74.007226 40.713064, -74.008833 40.713804))"
"MULTILINESTRING ((-74.006433250645 40.719090234019, -74.006135868486 40.719454038))",557.0,212,232,217,229,10013.0,10013.0,2,1.0,TF,1,,,435.0,,1.222.601.420,1.222.604.682,,,,,,1,,,,3B,3B,,N,25.0,"156,08857309",50.0,,,,2007 Nov 29 12:00:00 AM,2024 Sep 20 09:05:12 AM,,,,13,13,144890,C,,,,2.0,2.0,4.0,,W,,,W  BROADWAY,TF,"62,85779351543",e799eb05-b050-4e10-86b9-51397043b4dc,,,BROADWAY,W BROADWAY,"MULTILINESTRING ((-74.006433 40.71909, -74.006136 40.719454))"
"MULTILINESTRING ((-74.000874062698 40.711705207482, -73.999702956811 40.711788687481))",16.587,1,19,4,18,10038.0,10038.0,2,,FT,1,,ST,14.79,,212.261.641,212.261.875,,,,,,1,,,,1A,1A,,N,25.0,"326,08937278",50.0,,,,2007 Nov 29 12:00:00 AM,2020 Nov 13 02:39:37 PM,,,,13,13,125490,H,,,,2.0,2.0,4.0,,,,,MADISON ST,,"130,94210430242",cbf1ea22-d4c0-4ff8-9670-aadde88abfc7,,,MADISON,MADISON ST,"MULTILINESTRING ((-74.000874 40.711705, -73.999703 40.711789))"
"MULTILINESTRING ((-74.002715043577 40.710836515077, -74.002619636571 40.710760747657, -74.001670251923 40.710014263833))",78.6,,,,,10038.0,10038.0,2,1.0,TF,3,,BRG,71.23,,212.262.204,212.261.737,,,,,V,1,,,,,,,N,30.0,"200,91308546",28.0,,,,2007 Nov 29 12:00:00 AM,2024 Oct 04 02:44:10 PM,,,,17,17,197780,V,,,10.0,3.0,0.0,3.0,,,,,BROOKLYN BRG,TW,"167,65539270371",e7def8f9-30fa-42c6-9102-41e7e8f2a1e5,,,BROOKLYN,BROOKLYN BRG,"MULTILINESTRING ((-74.002715 40.710837, -74.00262 40.710761, -74.00167 40.710014))"
"MULTILINESTRING ((-74.008088512064 40.703130653547, -74.007960562387 40.703206189096))",129.45,39,39,38,38,10004.0,10004.0,2,,TF,1,,ST,101.528,,212.261.111,212.261.059,,,,,,1,,,,1B,1B,1.0,N,25.0,"501,4493396",30.0,,,,2007 Nov 29 12:00:00 AM,2026 Mar 09 03:56:17 PM,,2.0,,13,13,130640,C,,,,2.0,0.0,2.0,,,,,SOUTH ST,,"18,0526070387",7ec80490-db1c-4c0f-ab6d-cf17e4e69cc8,,,SOUTH,SOUTH ST,"MULTILINESTRING ((-74.008089 40.703131, -74.007961 40.703206))"
"MULTILINESTRING ((-73.997931796789 40.71816693133, -73.998753807037 40.718452602931))",92.196,182,198,193,207,10013.0,10013.0,2,,FT,1,,ST,83.335,,1.222.606.234,1.222.606.311,,,,,,1,,,,1A,1A,,N,25.0,"250,5092654",30.0,,,,2007 Nov 29 12:00:00 AM,2022 Mar 28 12:00:47 PM,,,F,13,13,122890,H,,,,1.0,2.0,3.0,,,,,HESTER ST,,"100,66653828249",24e66519-70ce-40b0-8df2-cbcf0524c287,,,HESTER,HESTER ST,"MULTILINESTRING ((-73.997932 40.718167, -73.998754 40.718453))"
