the_geom,name,bin,doitt_id,shape_area,base_bbl,objectid,construction_year,feature_code,geometry_source,ground_elevation,height_roof,last_edited_date,last_status_type,map_pluto_bbl,length,geometry
"MULTIPOLYGON (((-74.00336840595 40.706226028317, -74.003415118649 40.706196332571, -74.003551348386 40.706314784435, -74.003505523206 40.706345305977, -74.00336840595 40.706226028317)))",,1082002,665050,"157,171875",1000740001,184.216,1.98,2.1,Photogrammetric,5.0,"64,48",2017 Aug 22 06:58:26 PM,constructed,1000740001,"59,88701910948",POINT (-74.00346 40.706271)
"MULTIPOLYGON (((-73.995904132918 40.719065336306, -73.995909852445 40.719055772192, -73.995922391129 40.71903480156, -73.995955748274 40.718979015239, -73.996056289103 40.719014203452, -73.996032981447 40.719072471954, -73.996019815977 40.719105386041, -73.995904132918 40.719065336306)))",,1006934,843039,"183,97265625",1004700028,31.070,1.9,2.1,Photogrammetric,31.0,"37,79",2017 Aug 22 07:13:29 PM,constructed,1004700028,"54,39956086509",POINT (-73.995983 40.719042)
"MULTIPOLYGON (((-73.99379850182 40.719632194266, -73.993748334256 40.719617113416, -73.99373082627 40.719611850785, -73.993762486425 40.719550882577, -73.993814810336 40.719566611904, -73.993858351281 40.719579700445, -73.994108904076 40.719655017776, -73.994082294335 40.719717503697, -73.9938524863 40.719648422549, -73.99379850182 40.719632194266)))",,1005657,131836,"402,1328125",1004240006,284.467,1.92,2.1,Photogrammetric,38.0,"75,52",2017 Aug 22 05:48:42 PM,constructed,1004240006,"102,84310832695",POINT (-73.993921 40.719634)
"MULTIPOLYGON (((-74.009608294203 40.715269178038, -74.009650484769 40.715214729645, -74.009744673752 40.715093178007, -74.009750227982 40.715086009473, -74.00983634996 40.715124646652, -74.009834912299 40.715126503628, -74.009805133173 40.715164933653, -74.009694417519 40.715307815322, -74.009608294203 40.715269178038)))",,1082034,438153,"347,5625",1001370001,994.251,1.935,2.1,Photogrammetric,23.0,"65,3",2017 Aug 22 07:24:25 PM,constructed,1001370001,"84,67751728424",POINT (-74.009722 40.715197)
"MULTIPOLYGON (((-73.996938844493 40.716228044563, -73.99691430137 40.716219272938, -73.996951121751 40.716159632217, -73.997065322165 40.716200449013, -73.99709449865 40.716210876762, -73.997096770944 40.716211689079, -73.997071098899 40.716253272197, -73.997059950664 40.716271329847, -73.996938844493 40.716228044563)))",,1002425,341627,"173,35546875",1002020011,499.576,1.91,2.1,Photogrammetric,43.0,"41,59",2017 Aug 22 06:51:23 PM,constructed,1002020011,"55,19355251508",POINT (-73.997006 40.716215)
"MULTIPOLYGON (((-73.995177217363 40.71375531212, -73.995263403436 40.713748135925, -73.995286792519 40.713910760101, -73.995200607422 40.713917937214, -73.995177217363 40.71375531212)))",,1003503,755128,"231,88671875",1002810028,430.972,1.9,2.1,Photogrammetric,37.0,"56,43",2017 Aug 22 06:00:18 PM,constructed,1002810028,"67,35412014698",POINT (-73.995232 40.713833)
"MULTIPOLYGON (((-74.009827396486 40.718957677444, -74.009848273421 40.718831134188, -74.009924262049 40.718838392076, -74.009903384072 40.718964934445, -74.009827396486 40.718957677444)))",,1002081,320617,"159,6875",1001810040,1.044.262,1.892,2.1,Photogrammetric,16.0,"41,94",2020 Jan 28 05:21:16 PM,constructed,1001810040,"54,51317817869",POINT (-74.009876 40.718898)
"MULTIPOLYGON (((-73.993924875476 40.715037832972, -73.993914817606 40.71503169186, -73.993880695137 40.715021653863, -73.993887836382 40.715007599975, -73.993855728163 40.714998154612, -73.993849112474 40.71501117294, -73.993785710267 40.714992520864, -73.993771249275 40.71499263895, -73.993698942829 40.714971367661, -73.993729304783 40.714911613241, -73.993801611173 40.714932884512, -73.993812586116 40.714940105396, -73.993875777627 40.71495869531, -73.993871541177 40.714967032911, -73.993903649383 40.714976478269, -73.99390788583 40.714968141567, -73.993942008276 40.714978179557, -73.993955237257 40.714978079394, -73.99402440291 40.714998426437, -73.993994041181 40.715058180933, -73.993924875476 40.715037832972)))",,1003768,734522,"299,91796875",1002920023,910.007,1.9,2.1,Photogrammetric,43.0,"59,89",2017 Aug 22 06:08:00 PM,constructed,1002920023,"96,55177678873",POINT (-73.993861 40.714985)
"MULTIPOLYGON (((-74.008022457807 40.710489352807, -74.008074124586 40.710513652186, -74.008092908688 40.710493637009, -74.008181088907 40.710542687013, -74.007942649621 40.710781704745, -74.007856225744 40.710735249712, -74.00783838096 40.710753834775, -74.007789532289 40.710723817756, -74.008022457807 40.710489352807)))",,1001244,115982,"825,0625",1000890003,1.078.897,2.016,2.1,Other (Manual),36.0,362,2024 Dec 26 06:52:42 PM,constructed,1000890003,"131,83246086751",POINT (-74.007987 40.710632)
"MULTIPOLYGON (((-74.003082924161 40.707136224705, -74.003144987826 40.707103852341, -74.003227773258 40.707200110216, -74.003164814886 40.70723146057, -74.003082924161 40.707136224705)))",,1082016,543202,"140,73046875",1000960005,422.524,1.983,2.1,Photogrammetric,6.0,"48,42",2017 Aug 22 05:34:06 PM,constructed,1000960005,"50,33995529767",POINT (-74.003155 40.707168)
